match_date,competition_name,home_team,home_score,home_elo,home_tries,home_conversion,home_penalty,home_kick,away_team,away_score,away_elo,away_tries,away_conversion,away_penalty,away_kick
2002-01-25,Rugby World Cup Qualifier,Brazil,9,2544,0,0,3,0,Trinidad and Tobago,0,2502,0,0,0,0
2002-01-26,Premiership Rugby,Harlequins,16,2427,1,1,3,0,Northampton Saints,24,2577,3,3,1,0
2002-01-27,Premiership Rugby,Newcastle Falcons,22,2526,1,1,5,0,Wasps,23,2571,2,2,3,0
2002-02-02,Six Nations Championship,France,33,2657,3,3,4,0,Italy,12,2429,0,0,4,0
2002-02-02,Six Nations Championship,Scotland,3,2543,0,0,1,0,England,29,2718,2,2,5,0
2002-02-03,Six Nations Championship,Ireland,54,2554,6,6,4,0,Wales,10,2497,1,1,1,0
2002-02-09,Premiership Rugby,Bath Rugby,18,2613,0,0,6,0,Harlequins,9,2422,0,0,3,0
2002-02-09,Premiership Rugby,Gloucester Rugby,29,2569,2,2,5,0,London Irish,22,2541,1,1,5,0
2002-02-09,Premiership Rugby,Northampton Saints,10,2564,1,1,1,0,Sale Sharks,20,2503,2,2,2,0
2002-02-09,Premiership Rugby,Saracens,7,2547,1,1,0,0,Leicester Tigers,48,2798,6,6,2,0
2002-02-10,Premiership Rugby,Yorkshire Carnegie,9,2459,0,0,3,0,Newcastle Falcons,19,2534,1,1,4,0
2002-02-10,Premiership Rugby,Wasps,34,2582,4,4,2,0,Bristol Rugby,16,2475,1,1,3,0
2002-02-16,Six Nations Championship,Wales,33,2491,3,3,4,0,France,37,2663,4,4,3,0
2002-02-16,Six Nations Championship,Italy,12,2418,0,0,4,0,Scotland,29,2553,2,2,5,0
2002-02-16,Six Nations Championship,England,45,2726,6,6,1,0,Ireland,11,2546,1,0,2,0
2002-02-22,Super Rugby Pacific,Hurricanes,7,2461,1,1,0,0,Blues,60,2544,6,6,6,0
2002-02-22,Super Rugby Pacific,Sharks,18,2504,0,0,6,0,Stormers,25,2533,1,1,6,0
2002-02-23,Premiership Rugby,Sale Sharks,20,2516,2,2,2,0,Bath Rugby,14,2601,2,2,0,0
2002-02-23,Premiership Rugby,Leicester Tigers,17,2802,2,2,1,0,Northampton Saints,6,2560,0,0,2,0
2002-02-23,Premiership Rugby,Harlequins,6,2416,0,0,2,0,Gloucester Rugby,18,2575,0,0,6,0
2002-02-23,Super Rugby Pacific,Chiefs,25,2458,1,1,6,0,New South Wales Waratahs,42,2496,6,6,0,0
2002-02-23,Super Rugby Pacific,Crusaders,30,2572,3,3,3,0,Highlanders,28,2522,4,4,0,0
2002-02-23,Super Rugby Pacific,Brumbies,29,2650,2,2,5,0,Queensland Reds,19,2539,1,1,4,0
2002-02-23,Super Rugby Pacific,Bulls,31,2313,4,4,1,0,Cats,44,2505,5,5,3,0
2002-02-24,Premiership Rugby,Bristol Rugby,33,2492,3,3,4,0,Newcastle Falcons,17,2517,2,2,1,0
2002-02-24,Premiership Rugby,London Irish,31,2551,4,4,1,0,Wasps,17,2571,2,2,1,0
2002-02-24,Premiership Rugby,Saracens,15,2528,0,0,5,0,Yorkshire Carnegie,37,2478,4,4,3,0
2002-03-01,Super Rugby Pacific,Chiefs,27,2451,3,3,2,0,Crusaders,34,2579,4,4,2,0
